Subject,Body,From: (Name),From: (Address),From: (Type),To: (Name),To: (Address),To: (Type),CC: (Name),CC: (Address),CC: (Type),BCC: (Name),BCC: (Address),BCC: (Type),Billing Information,Categories,Importance,Mileage,Sensitivity
Request for sick leave,"Hi Janet,
I am writing to request sick leave from October 13th to October 21st. I will be undergoing surgery and at the recommendation of my doctor, I need to be off of work for this time in order to recover. I hope to be back at work on October 22nd. 
Please let me know if you have any questions.
Regards,
Dave",Jill Potter,nvtei.team@gmail.com,SMTP,Adam Morrigan,adam.morrigan@gmail.com,SMTP,,,,,,,,,Normal,,
Request for Pay Raise,"Dear Mr. Johnson,
I have greatly enjoyed working for Suhas Travellers over the last 3 years. During these years, I feel that I have become a valuable member of your team and I have contributed to projects in a significant way. 
Since working here, I have accomplished a lot.
As an employee, I think I have outperformed the goals set for me. As a result, I would like to have the opportunity to discuss increasing my salary so that it matches my current performance. Please let me know when is a good time for you to meet so that we can discuss this further.
Once again, I am grateful to be part of an organization that provides me with unique challenges and opportunities to continuously learn and grow.
Best regards,
Rohit",Jill Potter,nvtei.team@gmail.com,SMTP,Adam Morrigan,adam.morrigan@gmail.com,SMTP,,,,,,,,,Normal,,
"Reminder for the Party
","Hi Shlesh,

I am sending this email to remind you what to get for the end of summer party.

You should get chocolate cake,cookies, and ice cream.

Best regards,

Jill
",Jill Potter,nvtei.team@gmail.com,SMTP,Adam Morrigan,adam.morrigan@gmail.com,SMTP,,,,,,,,,Normal,,
Notice of Bad Behaviour,"Hey Bill,
I would like to bring to your attention the incident that occurred yesterday during our daily meeting.
I was deeply upset by the actions of Suhas. I tried to speak with them, but this did not lead to any sort of resolution and now I feel as if our professional relationship at work is strained as a result.
I am turning to you for assistance with the matter and I hope that you are able to come up with a solution that neither of us has thought of yet. 
Thank you for taking the matter seriously and please let me know if you have any questions or concerns.
Yours sincerely,
Dave",Jill Potter,nvtei.team@gmail.com,SMTP,Adam Morrigan,adam.morrigan@gmail.com,SMTP,,,,,,,,,Normal,,
Apology for Incomplete Work,"Hi James,

I am sending this email regarding the incomplete file that I sent. I completely forgot to finish the file due to the large amount of work we had this week. I apologize for any inconvenience this may have caused and it will not happen again.

Best regards,

Jill
",Jill Potter,nvtei.team@gmail.com,SMTP,Adam Morrigan,adam.morrigan@gmail.com,SMTP,,,,,,,,,Normal,,
Progress Update for Project,"
Hi Reagan,
I am happy to let you know that the project that was assigned to me two weeks ago is now nearing completion. Due to the hard work of our team, the project is expected to be completed on time. Based on the pace of our work, I expect to have the entire project completed by tomorrow.
The remaining elements of this project to be completed are as follows:
Find 2 new candidates
Email 2 new candidates
Develop training for 2 new candidates
Thank you for your continued support and guidance and please do not hesitate to get in touch with any questions.
Regards,
Shehab",Jill Potter,nvtei.team@gmail.com,SMTP,Adam Morrigan,adam.morrigan@gmail.com,SMTP,,,,,,,,,Normal,,
Request for Leave of Absence,"Dear John Smith,

I would like to formally request a leave of absence from my position. As we recently discussed, my requested leave would last a few weeks. My leave would begin on May 21st and end on June 15th. I would return to the office on June 17th.

If my leave is granted, it’s important to me that you and my team are left with proper coverage for my duties while I’m out of the office. As mentioned during our discussion about this, I would arrange for one of my team members, as approved by you, to provide support and backup for my job function during the dates of my leave. Additionally, between now and the start of my leave, I would prioritize finalizing as much of my current workload as possible, and would leave detailed notes for my backup about any in-progress work and ongoing assignments.

If I can answer any other questions for you that we didn’t discuss previously, please let me know. Thank you in advance for considering this request. I appreciate your support and understanding.

Sincerely,
Samuel Johnson",Jill Potter,nvtei.team@gmail.com,SMTP,Adam Morrigan,adam.morrigan@gmail.com,SMTP,,,,,,,,,Normal,,
"James Meyer, Director of Marketing","Dear All,

I am excited to announce the promotion of James Meyers from Marketing Associate to Director of Marketing. James has been with Smith Design for more than six years and has contributed greatly to his role as Marketing Associate by developing new business opportunities for Smith, particularly in the Tourism and Retail segments.

James has more than 10 years of marketing experience in the print advertising industry, evidenced by his ability to consistently exceed the expectations of our customers. We have no doubt he will continue to brilliantly represent Smith and shine as our Director of Marketing.

James will oversee the marketing teams and all Smith marketing initiatives going forward. He will report to me directly.

Let us all take a moment to congratulate James on his new promotion and wish him luck in the future.

Sincerely,

Sarah Gonsalves",Jill Potter,nvtei.team@gmail.com,SMTP,Adam Morrigan,adam.morrigan@gmail.com,SMTP,,,,,,,,,Normal,,
Request for Vacation Leave,"Dear Anthony,
I hope this email finds you well. I am writing to request time off from work. I would like to take 6 days of vacation starting from January 6th to January 12th.
I understand that this may be a busy time for the team, and I am happy to work with you to ensure a smooth transition of my responsibilities during my absence. I am also willing to complete any outstanding tasks before I leave or make arrangements to have someone cover for me during my absence.
Please let me know if you require any additional information or if there is anything else I can do to support this request. I would greatly appreciate your consideration.
Thank you for your time and I look forward to hearing back from you soon.
Best regards,
Jake",Jill Potter,nvtei.team@gmail.com,SMTP,Adam Morrigan,adam.morrigan@gmail.com,SMTP,,,,,,,,,Normal,,
Request for Performance Review,"
Dear James,
I hope this email finds you well. I am writing to request a performance review meeting with you to discuss my progress and development.
I have been working diligently over the past 3 years and would like the opportunity to discuss my accomplishments and areas for improvement. I believe that this meeting will provide me with valuable feedback and allow us to set achievable goals for the future.
Please let me know if you have any available dates and times in the coming weeks that would be convenient for a performance review meeting. I would be happy to work around your schedule.
Thank you for your time and consideration. I look forward to the opportunity to discuss my progress and future potential with you.
Best regards,
Emilia",Jill Potter,nvtei.team@gmail.com,SMTP,Adam Morrigan,adam.morrigan@gmail.com,SMTP,,,,,,,,,Normal,,
NVTEI Newsletter for July,"
Dear John,
In this email, we provide information about HR updates, highlight employee performance and give details about upcoming company events for the month of July.
To begin, we would like to offer employee recognition for this month to James Meyer for his promotion to a Director of Marketing. James offers valuable communication between work groups and effective explantion of technical concepts that help them achieve success in their position.
Recently, we have made changes regarding our main entrances. The changes involve the need for a PIN AND your NVTEI employee card and will take effect on August 3rd.
Finally, we would like to include information about an upcoming event regarding the annual Banquet. As much as we love to work on growing as an organization, it is important for us to takes some time to enjoy the amazing group we have as well. This banquet will take place on the 22nd of August at 6:30pm
Please reach out to me with any questions regarding the content of this email. Thank you for your time and we hope that you have a wonderful month.
Sincerely,
Mark ",Jill Potter,nvtei.team@gmail.com,SMTP,Adam Morrigan,adam.morrigan@gmail.com,SMTP,,,,,,,,,Normal,,
Notice of Day off Next Week,"Good morning Mr. O’Randall,
I hope this finds you well. Just wanted to let you know that I’ll be taking a day off next week for a personal emergency. I’ll ensure all my tasks are managed in my absence.
Best,
Kim",Jill Potter,nvtei.team@gmail.com,SMTP,Adam Morrigan,adam.morrigan@gmail.com,SMTP,,,,,,,,,Normal,,
Facing Project Challenges,"Hello Jill,
I wanted to discuss the workload for our current project. I’m facing a few challenges, such as the number of candidates we need to acquire, but I believe that with some adjustments or additional resources, we can stay on track. Any guidance you can provide would be greatly appreciated.
Thanks,
Shehab",Jill Potter,nvtei.team@gmail.com,SMTP,Adam Morrigan,adam.morrigan@gmail.com,SMTP,,,,,,,,,Normal,,
Hello!,"Hey Francis,
I’m excited to be joining the IT Department next week. I’ve already started reviewing some of our projects to hit the ground running.
Looking forward to collaborating with you and the team.
Best,
Harris",Jill Potter,nvtei.team@gmail.com,SMTP,Adam Morrigan,adam.morrigan@gmail.com,SMTP,,,,,,,,,Normal,,
New Idea for Employee Retrieval,"Greetings Johnny,
I’ve been brainstorming ways to enhance our employee retrieval process and have come up with an idea. By next year, we could potentially hire 100+ qualified professionals. I’ve done some preliminary research and would love to share more details.
Regards,
Daniel",Jill Potter,nvtei.team@gmail.com,SMTP,Adam Morrigan,adam.morrigan@gmail.com,SMTP,,,,,,,,,Normal,,
Notice of Sick Day,"Hi Amanda,

Unfortunately, I’m not feeling very well today and won’t be able to attend work.

I currently have a fever of over 105 degrees.

I hope to feel better soon and return to work as quickly as possible. I’ll let you know how I'm feeling later today and when I expect to return.
While I won’t be checking or answering emails for any urgent issues, you can contact me and I’ll do my best to help.

Kind regards,
James",Jill Potter,nvtei.team@gmail.com,SMTP,Adam Morrigan,adam.morrigan@gmail.com,SMTP,,,,,,,,,Normal,,
Thank You!,"Hi Franklin,

I wanted to message you to say thank you for congratulating me today at the daily meeting.

Your support means a lot to me, and I want to thank you.

Kindest regards,
Benjamin",Jill Potter,nvtei.team@gmail.com,SMTP,Adam Morrigan,adam.morrigan@gmail.com,SMTP,,,,,,,,,Normal,,
Appreciation for your aid,"Hi Chris,

I'm reaching out to show my appreciation for your help on the project today and helping me complete my work on time.

I’ve always valued your personal and professional support to the team and me.

Thanks!
James",Jill Potter,nvtei.team@gmail.com,SMTP,Adam Morrigan,adam.morrigan@gmail.com,SMTP,,,,,,,,,Normal,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
